ID,カテゴリ,ユーザーストーリー,期待される動作,優先度,テスト状態,エラー内容,修正状態
US-019,Pro購入フロー,ユーザーとして 決済完了後に /apps/{slug}/pro?success=1 にアクセスすると 購入完了バナーとPro機能が表示される,justPurchased=true で緑バナー表示。購入済み確認後にPro画面,High,FAIL,Pro版ゲーム本体が全アプリで未実装(「TODO: Pro版ゲームコンポーネント」のまま),PENDING
US-020,Pro購入フロー,ユーザーとして Stripe Webhook が正しく購入を記録する,checkout.session.completed で purchases テーブルに insert,High,BLOCKED,Stripe CLI でのローカルWebhook転送が必要,N/A
US-021,Pro購入フロー,ユーザーとして 存在しない appSlug で checkout を呼ぶと 404エラーが返る,getApp(appSlug) が null のとき 404,High,PASS,,
US-022,OGP,ユーザーとして SNSでアプリURLをシェアすると アプリ専用OGP画像が表示される,/api/og/{slug} が 1200×630 の画像を返す,Medium,PASS,,
US-023,OGP,ユーザーとして 存在しないslugのOGP APIを叩くと デフォルト画像が返る,app が undefined のときデフォルトカード表示,Low,PASS,,
US-024,学習記録,ユーザーとして ゲームをプレイすると localStorage に記録が保存される,recordGameResult が localStorage に GameRecord を append,High,PASS,,
US-025,学習記録,ユーザーとして ログイン済みでプレイすると Supabase にも記録が同期される,syncRecordToCloud が /api/learning POST を呼ぶ,High,BLOCKED,実ログインが必要,N/A
US-026,学習記録,ユーザーとして 未ログインで GET /api/learning を呼ぶと 401が返る,認証チェックで 401 unauthenticated,High,PASS,,
US-027,学習記録,ユーザーとして 未ログインで POST /api/learning を呼ぶと 401が返る,認証チェックで 401 unauthenticated,High,PASS,,
US-028,スコア予測,ユーザーとして スコア3点以上で /api/predict を叩くと 予測結果が返る,線形回帰フォールバックが動作し forecast/trend/confidence を返す,Medium,PASS,,
US-029,スコア予測,ユーザーとして スコア2点以下で /api/predict を叩くと 400エラーが返る,「scores must have at least 3 data points」,Medium,PASS,,
US-030,スコア予測,ユーザーとして TIMESFM_API_URL が設定されている場合 外部APIに転送される,process.env.TIMESFM_API_URL が設定時は HF Spaces へ転送,Low,BLOCKED,HF Spacesデプロイが手動作業のため,N/A
US-031,UX/アクセス,ユーザーとして 各アプリのlayout.tsxが正しいOGPメタを持つ,og:image が /api/og/{slug} を指し SNS共有で正しく表示,Medium,PASS,,
US-032,UX/アクセス,ユーザーとして トップページの統計数字が正確である,アプリ数・最安値・買い切り表記が実態と一致,High,FAIL,「アプリ数: 21本」(実際28本)。ヒーロー文言も「24本」のまま,PENDING
US-033,UX/アクセス,ユーザーとして Pro購入済みのアプリで Pro版ゲームが楽しめる,Pro版ゲーム本体のコンポーネントが実装されている,High,FAIL,全28アプリのPro版ゲームが未実装(スタブのみ),PENDING
US-034,配信/SEO,ユーザーとして 各アプリのtitleとdescriptionがSEO最適化されている,layout.tsx の metadata.title/description が設定済み,Medium,PASS,,
